variant,pattern,n,max_run_len,iter,comparisons,time_ns
vanilla,random_asc_runs,10000,8,10,113709,300606
vanilla,random_asc_runs,10000,8,11,113351,285518
vanilla,random_asc_runs,10000,8,12,113690,287336
vanilla,random_asc_runs,10000,8,13,113623,285573
vanilla,random_asc_runs,10000,8,14,113550,286124
vanilla,random_asc_runs,10000,8,15,113564,288328
vanilla,random_asc_runs,10000,8,16,113552,287943
vanilla,random_asc_runs,10000,8,17,113463,275786
vanilla,random_asc_runs,10000,8,18,113419,290896
vanilla,random_asc_runs,10000,8,19,113534,282785
vanilla,random_asc_runs,10000,8,20,113552,289883
vanilla,random_asc_runs,10000,8,21,113199,318890
vanilla,random_asc_runs,10000,8,22,113494,341240
vanilla,random_asc_runs,10000,8,23,113487,344094
vanilla,random_asc_runs,10000,8,24,113014,278024
vanilla,random_asc_runs,10000,8,25,113213,284658
vanilla,random_asc_runs,10000,8,26,113539,281287
vanilla,random_asc_runs,10000,8,27,113585,276559
vanilla,random_asc_runs,10000,8,28,113418,276702
vanilla,random_asc_runs,10000,8,29,113706,290048
runs,random_asc_runs,10000,8,0,105170,237236
runs,random_asc_runs,10000,8,1,104718,230898
runs,random_asc_runs,10000,8,2,104396,227846
runs,random_asc_runs,10000,8,3,105100,231329
runs,random_asc_runs,10000,8,4,105402,234326
